Job Title,Count,Category
Technology Associate,2,Software/Data
Client Service Associate,2,Management/Ops
Business Analyst Associate,2,Management/Ops
Insurance Agent,2,Finance/Investment
SDR,2,Sales/Marketing
Procurement Specialist,2,Management/Ops
Technical Consultant,2,Software/Data
Cashier,2,Management/Ops
Study Abroad Peer Advisor,2,Education & Social Service
Nanny,2,Education & Social Service
Management Trainee,2,Management/Ops
Administrative Coordinator,1,Management/Ops
Rep,1,Management/Ops
Force Support,1,Management/Ops
Aircraft Maintenance,1,Engineering
Staff,1,Management/Ops
Key Holder,1,Management/Ops
Professional golfer,1,Other/Unclear
Leadership development Program - Mobile app team,1,Software/Data
Construction Laborer,1,Engineering
Accounts receivable,1,Finance/Investment
Small Animal Technician,1,Research/Science
Youth Minister,1,Education & Social Service
MIT Program,1,Other/Unclear
Technical Writer,1,Sales/Marketing
Senior Caregiver,1,Clinical Care
Concession Stand Attendant,1,Management/Ops
Groundskeeper,1,Engineering
Summit MarketPlace Worker,1,Management/Ops
Stormwater BMP Technician,1,Research/Science
Caption Editor,1,Sales/Marketing
Store Leader,1,Management/Ops
Billing Assistant,1,Management/Ops
Client Services Coordinator,1,Management/Ops
"Building Maintenance, Surveyor",1,Engineering
Framer,1,Engineering
Trivia Jockey,1,Management/Ops
Ice Resurfacer,1,Management/Ops
Associate Designer,1,Sales/Marketing
Automotive Mechanic,1,Engineering
Receptionist,1,Management/Ops
Bartender and Server,1,Management/Ops
Management Coordinator,1,Management/Ops
Field Technician,1,Engineering
Quality Management,1,Management/Ops
General Contractor,1,Management/Ops
News Content Editor,1,Sales/Marketing
Jr. GIS Technician,1,Software/Data
Food Expeditor,1,Sales/Marketing
Member Services Representative,1,Management/Ops
Medical Technologist,1,Software/Data
GIS Technician,1,Software/Data
Industrial Hygiene Field Technician,1,Engineering
Sports performance coach,1,Education & Social Service
Neuropsychometrist,1,Clinical Care
Coordinator,1,Management/Ops
Creative Recruiter,1,Management/Ops
Senior Technical Recruiter,1,Management/Ops
Optometry Technician,1,Clinical Care
"Driven, motivated, charismatic, entrepreneurial-spirited woman",1,Other/Unclear
Abstractor,1,Management/Ops
Cashiering,1,Management/Ops
Field Biologist,1,Software/Data
Direct Support Professional,1,Education & Social Service
Corporate Strategist,1,Management/Ops
Development Admin,1,Sales/Marketing
Kitchen Staff,1,Management/Ops
Campus Recruiter,1,Management/Ops
Chemical Dependency Technician,1,Clinical Care
Food Server,1,Management/Ops
Loan Officer / LOA,1,Finance/Investment
Agent,1,Management/Ops
CNA,1,Clinical Care
Tutor,1,Education & Social Service
Independent Contractor,1,Management/Ops
Recruitment and Student Services Coordinator,1,Management/Ops
Charter Member,1,Other/Unclear
Service Fellow,1,Education & Social Service
2d lt,1,Management/Ops
Photographer,1,Sales/Marketing
Direct support professional,1,Education & Social Service
grad assistant,1,Management/Ops
Multimedia Content Producer,1,Sales/Marketing
Port Captain,1,Management/Ops
Bike Park Designer,1,Sales/Marketing
Sports Editor,1,Sales/Marketing
Private Equity Fellow,1,Management/Ops
Concierge,1,Management/Ops
Client Services Representative,1,Management/Ops
Board Member,1,Management/Ops
Ophthalmic Technician,1,Clinical Care
Digital and Social Media Coordinator,1,Sales/Marketing
Computer Numerical Control Machinist,1,Engineering
Principal Architect,1,Engineering
Emergency Department Tech,1,Clinical Care
Disability Resource Center Administrative Fellow,1,Education & Social Service
Athletic Facilities Support,1,Management/Ops
Assistant Dance Team Coach,1,Education & Social Service
Service runner,1,Management/Ops
Naval Aviator,1,Management/Ops
RPA Pilot,1,Management/Ops
Pilot,1,Management/Ops
Certified Pharmacy Technician,1,Clinical Care
President,1,Management/Ops
Outdoor Leader,1,Education & Social Service
Multi-Media Journalist,1,Sales/Marketing
"Associate, Client Partnerships",1,Sales/Marketing
Editorial Intern,1,Sales/Marketing
Sports Performance Technician,1,Clinical Care
Soccer Coach,1,Education & Social Service
University of St. Thomas Graduate             Former President of BridgeUST,1,Other/Unclear
"Juris Doctor Candidate, University of Colorado",1,Other/Unclear
Recent Graduate from University of St. Thomas,1,Other/Unclear
Analyst II,1,Software/Data
Associate II,1,Management/Ops
Mortgage Loan Officer,1,Finance/Investment
Corporate Development Executive,1,Finance/Investment
Wholesale Broker,1,Finance/Investment
IT Support Technician,1,Software/Data
Licensed Realtor,1,Finance/Investment
"BA in English-Professional Writing 2021 - Seeking Entry-Level Opportunities in Editing, Proofreading, and Technical Writing.",1,Other/Unclear
Jr. Mortgage Loan Officer,1,Finance/Investment
Exercise Physiologist,1,Clinical Care
Assistant Coordinator of Marriage Prep and Youth Ministry,1,Management/Ops
Insurance Underwriting,1,Finance/Investment
Physical therapy tech,1,Clinical Care
Behavior technician,1,Clinical Care
Rehabilitation Technician,1,Clinical Care
Opthalmic Technician,1,Clinical Care
Field and Client Services,1,Management/Ops
Pharmacy tech,1,Clinical Care
Student Writer,1,Sales/Marketing
Cna,1,Clinical Care
Caregiver,1,Clinical Care
Accounts Receivable Rep,1,Finance/Investment
line/prep cook,1,Management/Ops
PhD Student,1,Research/Science
Clinic Medical Staff,1,Clinical Care
PR Specialist,1,Sales/Marketing
American Culture and Language Ambassador,1,Education & Social Service
Copywriter Intern,1,Sales/Marketing
Assignment Editor/Producer,1,Sales/Marketing
Mission Intern,1,Education & Social Service
Content Desk Editor,1,Sales/Marketing
Broker,1,Finance/Investment
Executive Assistant,1,Management/Ops
Student Worker- Victim Services Unit,1,Education & Social Service
42R- Army bandsman,1,Other/Unclear
Swim coach/Paraprofessional,1,Education & Social Service
Fulfillment,1,Management/Ops
Ambulatory Surgery Aide,1,Clinical Care
IT Recruiter,1,Management/Ops
Mechanical Enginineer,1,Engineering
Student Writer (Newsroom),1,Sales/Marketing
Blending Operator,1,Engineering
Sandwich Maker,1,Management/Ops
Personal Trainer,1,Clinical Care
2LT,1,Management/Ops
Clinic support staff,1,Clinical Care
Application Review Specialist,1,Management/Ops
Urban Scholar,1,Education & Social Service
Studio Technician,1,Engineering
Line Cook,1,Management/Ops
Valet Attendant,1,Management/Ops
Designer,1,Sales/Marketing
"Coordinator, Volunteerism & Internships",1,Clinical Care
Post masters fellow,1,Management/Ops
Account Representative,1,Management/Ops
Private Pilot,1,Management/Ops
Client Support Services,1,Management/Ops
Estimator/Scheduler,1,Management/Ops
Uber Driver,1,Management/Ops
Aviation Electrician,1,Engineering
Quality Management Partner,1,Management/Ops
Principal,1,Education & Social Service
Majoring in General Business Management ll Minor in Psychology,1,Other/Unclear
Front Desk,1,Management/Ops
Recently graduated college and moved out to Denver to start pursuing my passion in the business world.,1,Other/Unclear
DBA,1,Software/Data
Contractor,1,Management/Ops
Quality steward,1,Engineering
Behavior Interventionist,1,Clinical Care
Ph.D. Student,1,Research/Science
Teller,1,Finance/Investment
Unemployed,1,Other/Unclear
Radiologist,1,Software/Data
Member-at-Large,1,Management/Ops
Division Chair,1,Management/Ops
Performance Partner,1,Management/Ops
workforce programs partner,1,Education & Social Service
Account Coodinator,1,Sales/Marketing
Human Resource Generalist,1,Management/Ops
Human Resources Generalist,1,Management/Ops
HR Generalist,1,Management/Ops
Testing Technician,1,Engineering
Development Agent,1,Sales/Marketing
Producing Associate,1,Sales/Marketing
Lifeguard,1,Management/Ops
Data Architect,1,Software/Data
Subject Matter Expert,1,Management/Ops
Guest Lead,1,Management/Ops
Chapter Treasurer,1,Management/Ops
Model,1,Sales/Marketing
Environmental Field Technician,1,Engineering
Consultation Agent,1,Management/Ops
Geologist,1,Software/Data
Shift Leader,1,Management/Ops
Trader,1,Finance/Investment
Urban Realtor,1,Finance/Investment
Chess Coach,1,Education & Social Service
Fashion Blogger,1,Sales/Marketing
Second Lieutenant,1,Management/Ops
News Reporter,1,Sales/Marketing
Promotions Crew,1,Sales/Marketing
Sterile Processing Technician,1,Clinical Care
Admissions Recruiter,1,Management/Ops
Graphic Designer,1,Sales/Marketing
Front Office Receptionist,1,Management/Ops
Asset Management Technician,1,Finance/Investment
Parks Maintenance Worker,1,Engineering
Chef,1,Management/Ops
Influencer Relations Strategist,1,Software/Data
Application Data Management,1,Software/Data
Crew Member,1,Management/Ops
Brand Executive,1,Sales/Marketing
Geriatric Fellow,1,Management/Ops
Visitor Services Representative,1,Management/Ops
Demolition Laborer,1,Engineering
Healthcare Recruiter,1,Management/Ops
Volunteer Corrdinator,1,Education & Social Service
Nursing Station Technician,1,Clinical Care
Event Staff,1,Management/Ops
Campus Minister,1,Education & Social Service
Clinical Trainee,1,Clinical Care
Para,1,Education & Social Service
Fulbright Fellow,1,Management/Ops
Banquet Server,1,Management/Ops
Postdoctoral Resident,1,Research/Science
File Clerk,1,Management/Ops
Investigator,1,Legal/Policy
DEI Coach,1,Education & Social Service
Production Technician,1,Engineering
Shopper,1,Management/Ops
Summer Associate,1,Management/Ops
Media Coordinator,1,Sales/Marketing
Merchandising Assistant,1,Management/Ops
Beverage Cart Attendant,1,Management/Ops
Product Builder,1,Engineering
Insurance Broker,1,Finance/Investment
Receiver,1,Management/Ops
Microbiology Technician,1,Research/Science
Account Specialist,1,Management/Ops
Assistant Volleyball Coach,1,Education & Social Service
Promotions Assistant,1,Sales/Marketing
Product Marketer,1,Sales/Marketing
Community Health Worker,1,Clinical Care
Child Protection Investigator,1,Education & Social Service
Manufacturing,1,Engineering
Shipt Shopper,1,Management/Ops
Broadcast Assistant,1,Management/Ops
Business Partner,1,Management/Ops
Digital Marketer,1,Sales/Marketing
Club Server,1,Management/Ops
Personal Care Attendant,1,Clinical Care
Senior Member of Technical Staff,1,Software/Data
Site Specialist,1,Management/Ops
Social & Creative Strategist,1,Sales/Marketing
Solutions Architect,1,Software/Data
Assessor,1,Legal/Policy
Actuary,1,Finance/Investment
Catastrophe Modeler,1,Finance/Investment
Emergency Room Technician,1,Clinical Care
Data Governance and Data Quality Lead,1,Software/Data
Solution Architect,1,Software/Data
Community Volunteer,1,Education & Social Service
Podcast Host,1,Sales/Marketing
Teaching Fellow,1,Management/Ops
Cultural Liaison,1,Education & Social Service
Volleyball Coach,1,Education & Social Service
Psychologist,1,Software/Data
Sr. Digital Marketer,1,Sales/Marketing
Campus Recruiting Leadwr,1,Management/Ops
Anaplan Enablement Lead,1,Software/Data
Auto Body Shop Technician,1,Engineering
Sound Designer,1,Sales/Marketing
Assignment Editor,1,Sales/Marketing
Business Architect,1,Management/Ops
Merchant,1,Sales/Marketing
Human Resources Business Partner,1,Management/Ops
Outreach Advocate,1,Education & Social Service
Community Outreach Coordinator,1,Education & Social Service
Behavior Technician,1,Clinical Care
Psychology Fellow,1,Management/Ops
Clinical Fellow,1,Clinical Care
City Carrier Associate,1,Management/Ops
Program Manufacturing Leader,1,Engineering
Commercial Lines Agent,1,Finance/Investment
Cloud Solution Architect,1,Software/Data
Master Electrician,1,Engineering
Assistant to the President,1,Management/Ops
Caddie,1,Management/Ops
Print Graphic Designer,1,Sales/Marketing
System Operator,1,Engineering
Planning Committee Member,1,Management/Ops
Safety Coordinator,1,Management/Ops
Talent Business Partner,1,Management/Ops
Learning and Development,1,Management/Ops
Resident Aide,1,Clinical Care
Digital Content Producer,1,Sales/Marketing
Reporter,1,Sales/Marketing
Neurophysiologist,1,Software/Data
Social Work Trainee,1,Sales/Marketing
Au Pair,1,Education & Social Service
Child protection,1,Education & Social Service
Assistant to the Chair,1,Management/Ops
Video Editor,1,Sales/Marketing
Video and Content Creation Intern,1,Clinical Care
Day Trader,1,Finance/Investment
Pathology Aide,1,Clinical Care
Value Stream Leader,1,Management/Ops
Highway Designer,1,Sales/Marketing
Therapiest,1,Clinical Care
au' pair,1,Education & Social Service
"Special Education, Federal Setting III Emotional Behavioural Disorder",1,Education & Social Service
Educational Support in a publich charter school,1,Education & Social Service
Early Childhood Special Education,1,Education & Social Service
Leadership Development Program,1,Other/Unclear
Graduate Recruiter,1,Management/Ops
Leader in Development Program,1,Other/Unclear
Fisheries & Aquatic Ecology Field Fellow,1,Research/Science
Technology Leadership Development Program,1,Other/Unclear
Executive,1,Management/Ops
Loan Officer,1,Finance/Investment
Merchandiser,1,Sales/Marketing
Real Estate Agent,1,Finance/Investment
